File_Number,Instruments
782,"Clarinet In B-flat,Piano"
783,Piano
784,Piano
785,Piano
786,Piano
787,Piano
788,Piano
789,Piano (2)
790,Piano
791,"Cello,Piano"
792,Piano
793,Piano
794,Piano
795,Piano
796,Piano
797,Piano
798,Piano
799,Piano
800,Piano
801,Piano
802,Piano
803,Piano
804,Piano
805,Piano
806,Piano
807,Piano
808,"Vocals,Piano"
809,Piano
810,Piano
811,Piano
812,Piano
813,Piano
814,Piano
815,Piano
816,Piano
817,Piano (3)
818,Piano
819,Piano
820,Piano
821,Piano
822,Piano
823,Piano
824,Piano
825,Piano
826,Piano
827,"Flute,Piano"
828,Piano
829,Piano
830,Piano
831,Piano
832,Piano
833,Piano
834,Piano
835,"Cello,Piano"
836,Piano
837,Piano
838,Piano
839,Piano
840,Piano
841,Piano
842,Piano
843,Piano
844,Piano
845,Piano
846,Piano
847,"Contrabass,Piano"
848,Piano
849,Piano
850,Piano
851,Piano
852,Piano
853,Piano
854,Piano
855,"Bassoon,Piano"
856,"Cello,Piano"
857,Piano
858,Piano
859,Piano
860,Piano
861,"Cello,Piano"
862,"Clarinet In B-flat,Piano"
863,Piano
864,Piano
865,Piano
866,Piano
867,Piano
868,Piano
869,Piano
870,Piano
871,Piano
872,Piano
873,Piano
874,Piano
875,"Piano,Accordion"
876,Piano
877,Piano
878,Piano
879,Piano
880,Piano
881,Piano
882,Piano
883,"Clarinet In B-flat,Piano"
884,Piano
885,Piano
886,Piano
887,"Clarinet Other,Piano"
888,Piano
889,Piano
890,Piano
891,Piano
892,Piano
893,Piano
894,Piano
895,Piano
896,Piano
897,Piano
898,Piano
899,Piano
900,Piano
901,Piano
902,Piano
903,Piano
904,Piano
905,Piano
906,Piano
907,Piano
908,Piano
909,Piano (2)
910,Piano
911,"Viola,Piano"
912,Piano
913,Piano (2)
914,Piano
915,Piano
916,Piano
917,Piano (2)
918,Piano
919,"Cello,Piano"
920,Piano
921,Piano
922,Piano
923,Piano
924,Piano
925,Piano
926,Piano
927,Piano
928,Piano
929,Piano
930,Piano
931,Piano
932,Piano
933,"Vocals,Piano"
934,"Voice (other),Piano"
935,Piano
936,Piano
937,Piano
938,Piano
939,Piano
940,Piano
941,Piano
942,Piano
943,Piano
944,Piano
945,Piano
946,Piano
947,Piano
948,Piano
949,Piano
950,Piano
951,Piano
952,Piano
953,Piano
954,Piano
955,Piano
956,Piano
957,Piano
958,Piano
959,Piano
960,Piano
961,Piano
962,Piano
963,Piano
964,Piano
965,Piano
966,Piano
967,Piano
968,Piano (2)
969,Piano
970,Piano
971,Piano
972,Piano
973,Piano
974,Piano
975,Piano
976,Piano
977,Piano
978,Piano
979,Piano
980,Piano
981,Piano
982,Piano
983,Piano
984,Piano
985,Piano
986,Piano
987,Piano
988,"Flute,Piano"
989,Piano
990,Piano
991,Piano
992,Piano
993,Piano
994,Piano
995,Piano
996,Piano
997,"Viola,Piano"
998,Piano
999,Piano
1000,Piano
1001,Piano
1002,Piano
1003,Piano
1004,"Vocals,Piano"
1005,Piano
1006,Piano
1007,Piano
1008,Piano
1009,Piano
1010,Piano
1011,Piano
1012,Piano
1013,Piano
1014,Piano
1015,Piano
1016,Piano
1017,Piano
1018,Piano
1019,Piano
1020,Piano
1021,Piano
1022,Piano
1023,Piano
1024,Piano
1025,"Vocals,Piano"
1026,Piano
1027,Piano
1028,Piano
1029,"Clarinet In B-flat,Piano"
1030,Piano
1031,Piano
1032,Piano
1033,Piano
1034,Piano
1035,Piano
1036,Piano
1037,Piano
1038,Piano
1039,Piano
1040,Piano
1041,Piano
1042,Piano
1043,Piano
1044,Piano
1045,Piano
1046,Piano
1047,Piano
1048,Piano
1049,Piano
1050,Piano
1051,Piano
1052,Piano
1053,Piano
1054,Piano
1055,Piano
1056,Piano
1057,Piano
1058,Piano
1059,Piano
1060,Piano
1061,Piano
1062,Piano
1063,Piano
1064,Piano
1065,Piano
1066,Piano
1067,Piano
1068,Piano
1069,Piano
1070,"Flute,Piano"
1071,Piano
1072,Piano
1073,Piano
1074,Piano
1075,Piano
1076,Piano
1077,Piano
1078,Piano
1079,Piano
1080,Piano
1081,Piano
1082,Piano
1083,"Viola,Piano"
1084,Piano
1085,Piano
1086,Piano
1087,Piano
1088,Piano
1089,Piano
1090,Piano
1091,Piano
1092,Piano
1093,Piano
1094,Piano
1095,Piano
1096,"Clarinet In B-flat,Piano"
1097,Piano
1098,Piano
1099,Piano
1100,Piano
1101,Piano
1102,Piano
1103,Piano
1104,Piano
1105,Piano
1106,Piano
1107,Piano
1108,"Vocals,Piano"
1109,Piano
1110,Piano
1111,Piano (2)
1112,Piano
1113,Piano
1114,Piano
1115,Piano
1116,Piano
1117,"Clarinet In B-flat,Piano"
1118,Piano
1119,Piano
1120,Piano
1121,Piano
1122,Piano
1123,Piano
1124,Piano
1125,Piano (2)
1126,Piano
1127,Piano
1128,Piano
1129,Piano
1130,Piano
1131,Piano
1132,Piano
1133,Piano
1134,Piano
1135,Piano
1136,Piano
1137,Piano
1138,"Clarinet In B-flat,Piano"
1139,Piano
1140,Piano
1141,Piano
1142,Piano
1143,Piano
1144,Piano
1145,Piano
1146,Piano
1147,Piano
1148,Piano
1149,Piano
1150,Piano
1151,Piano
1152,Piano
1153,Piano
1154,"Oboe,Piano"
1155,Piano
1156,Piano
1157,Piano (3)
1158,Piano
1159,Piano
1160,Piano
1161,Piano
1162,Piano
1163,Piano
1164,Piano
1165,Piano
1166,Piano
1167,Piano
1168,Piano
1169,Piano
1170,Piano
1171,Piano
1172,Piano
1173,Piano
1174,Piano
1175,Piano
1176,Piano
1177,Piano
1178,Piano
1179,"Soprano,Tenor,Piano"
1180,Piano
1181,Piano
1182,Piano
1183,"Vocals,Piano"
1184,Piano
1185,Piano
1186,Piano
1187,Piano
1188,Piano
1189,Piano
1190,Piano
1191,"Melodica,Piano"
1192,Piano
1193,Piano
1194,Piano
1195,Piano
1196,Piano
1197,Piano
1198,Piano
1199,Piano
1200,Piano
1201,"Violin,Piano"
1202,Piano
1203,Piano
1204,Piano
1205,Piano
1206,Piano
1207,Piano
1208,Piano
1209,Piano
1210,Piano
1211,Piano
1212,Piano
1213,Piano
1214,Piano
1215,Piano
1216,Piano
1217,Piano
1218,Piano
1219,Piano
1220,Piano
1221,"Cello,Piano"
1222,Piano
1223,Piano
1224,Piano
1225,Piano
1226,Piano
1227,Piano
1228,Piano
1229,Piano
1230,Piano
1231,Piano
1232,Piano
1233,Piano
1234,Piano
1235,Piano
1236,Piano
1237,Piano
1238,Piano
1239,Piano
1240,Piano
1241,Piano
1242,Piano
1243,Piano
1244,Piano
1245,Piano
1246,Piano
1247,Piano
1248,Piano
1249,"Violin,Piano"
1250,Piano
1251,Piano
1252,Piano
1253,Piano
1254,Piano
1255,Piano
1256,Piano
1257,Piano
1258,Piano
1259,Piano
1260,Piano
1261,"Clarinet In B-flat,Piano"
1262,"Clarinet In B-flat,Piano"
1263,Piano
1264,Piano
1265,Piano
1266,Piano
1267,Piano
1268,Piano
1269,"Soprano,Alto,Bass Voice,Piano"
1270,Piano
1271,Piano
1272,Piano
1273,Piano
1274,Piano
1275,Piano
1276,Piano
1277,Piano
1278,Piano
1279,Piano
1280,Piano
1281,Piano (2)
1282,Piano
1283,Piano
1284,Piano
1285,Piano
1286,Piano
1287,Piano
1288,Piano
1289,Piano
1290,"Piano,Violin"
1291,Piano
1292,Piano
1293,Piano
1294,Piano
1295,Piano
1296,Piano
1297,Piano
1298,Piano
1299,Piano
1300,Piano
1301,Piano
1302,Piano
1303,Piano
1304,Piano
1305,Piano
1306,Piano
1307,"Euphonium,Piano"
1308,Piano (2)
1309,Piano
1310,Piano
1311,Piano
1312,Piano
1313,Piano
1314,Piano
1315,Piano
1316,"Trumpet In B-flat,Piano"
1317,Piano
1318,Piano
1319,Piano
1320,Piano
1321,Piano
1322,Piano
1323,Piano
1324,Piano
1325,Piano
1326,Piano
1327,Piano
1328,Piano
1329,Piano
1330,Piano
1331,Piano
1332,Piano
1333,Piano
1334,Piano
1335,"Clarinet Bass,Piano"
1336,Piano
1337,Piano
1338,Piano
1339,Piano
1340,Piano
1341,Piano
1342,Piano
1343,Piano
1344,Piano
1345,Piano
1346,Piano
1347,Piano
1348,Piano
1349,Piano
1350,"Clarinet In B-flat,Piano"
1351,Piano
1352,Piano (2)
1353,Piano
1354,Piano
1355,Piano
1356,"Flute,Piano"
1357,Piano
1358,Piano
1359,Piano
1360,"Soprano (2),Tenor,Bass Voice,Piano"
1361,Piano
1362,Piano
1363,Piano
1364,Piano
1365,Piano
1366,Piano
1367,Piano
1368,Piano
1369,Piano
1370,Piano
1371,Piano
1372,Piano
1373,Piano
1374,Piano
1375,Piano
1376,Piano
1377,Piano
1378,Piano
1379,Piano
1380,Piano
1381,Piano
1382,Piano
1383,Piano
1384,Piano
1385,Piano
1386,Piano
1387,Piano
1388,Piano
1389,Piano
1390,Piano
1391,Piano
1392,"Clarinet In B-flat,Piano"
1393,Piano
1394,Piano
1395,Piano
1396,Piano
1397,Piano
1398,Piano
1399,Piano
1400,Piano
1401,Piano
1402,Piano
1403,Piano
1404,Piano
1405,Piano
1406,Piano
1407,Piano
1408,Piano
1409,Piano
1410,Piano
1411,Piano
1412,Piano
1413,Piano
1414,Piano
1415,Piano
1416,Piano
1417,Piano
1418,Piano
1419,Piano
1420,Piano
1421,Piano
1422,Piano
1423,Piano
1424,Piano
1425,Piano
